5382	1	18616
5382	2	25231
5382	3	27122
5382	4	27184
5382	5	27404
5382	6	457
5382	7	27246
2835	0	10098
2835	1	15484
2835	2	22695
2835	3	27122
2835	4	27184
2835	5	27404
2835	6	1
2835	7	27307
2835	7	27229
6228	0	13473
6228	1	19172
6228	2	26076
6228	3	27123
6228	4	27191
6228	5	27404
6228	6	6228
6228	7	27303
3259	0	10520
3259	1	17097
3259	2	23115
3259	3	27123
3259	4	27184
3259	5	27404
3259	6	1
3259	7	27229
3259	7	27228
14	0	7291
14	1	14525
14	2	19879
14	3	27122
14	4	27185
14	5	27404
14	6	14
14	7	27228
4748	0	11999
4748	1	18189
4748	2	24597
4748	3	27122
4748	4	27184
4748	5	27404
4748	6	1
4748	7	27229
317	0	7592
317	1	317
317	2	20182
317	3	27122
317	4	27184
317	5	27404
317	6	1
317	6	27137
317	6	40
317	6	15571
317	6	14682
317	6	27129
317	6	2132
317	6	1175
317	7	27229
317	7	27248
317	7	27245
317	7	27249
317	7	27258
317	7	27254
317	7	27270
1341	0	8610
1341	1	15600
1341	2	21206
1341	3	27122
1341	4	27184
1341	5	27404
1341	6	1
1341	7	27229
3893	0	11147
3893	1	17574
3893	2	23747
3893	3	27123
3893	4	27184
3893	5	27404
3893	6	15571
3893	7	27248
1009	0	8282
1009	1	1009
1009	2	20874
1009	3	27122
1009	4	27184
1009	5	27448
1009	6	1
1009	6	27137
1009	6	40
1009	6	9
1009	6	15571
1009	7	27229
1009	7	27248
1009	7	27342
1009	7	27275
1009	7	27249
3902	0	11156
3902	1	17582
3902	2	23756
3902	3	27123
3902	4	27184
3902	5	27415
3902	6	1
3902	7	27229
5816	0	13064
5816	1	18895
5816	2	25664
5816	3	27122
5816	4	27184
5816	5	27404
5816	6	15571
5816	7	27248
6261	0	13506
6261	1	19193
6261	2	26109
6261	3	27122
6261	4	27184
6261	5	27404
6261	6	27135
6261	7	27303
2774	0	10037
2774	1	16728
2774	2	22634
2774	3	27122
2774	4	27184
2774	5	27404
2774	6	15571
2774	7	27260
865	0	8138
865	1	15210
865	2	20730
865	3	27122
865	4	27184
865	5	27404
865	6	2998
865	7	27229
865	7	27245
865	7	27258
865	7	27270
865	7	27268
865	7	27254
1134	0	8406
1134	1	15432
1134	2	20999
1134	3	27123
1134	4	27184
1134	5	27404
1134	6	1
1134	6	15571
1134	7	27316
1134	7	27229
1134	7	27248
6500	0	13744
6500	1	19345
6500	2	26347
6500	3	27123
6500	4	9627
6500	5	27404
6500	6	6500
6500	7	27303
593	0	7868
593	1	593
593	2	20458
593	3	27122
593	4	27184
593	5	27404
593	6	3
593	7	27262
593	7	27248
593	7	27276
2988	0	10251
2988	1	16886
2988	2	22846
2988	3	27122
2988	4	27184
2988	5	27404
2988	6	1
2988	6	15571
2988	7	27229
2988	7	27248
5987	0	13234
5987	1	19006
5987	2	25835
5987	3	27123
5987	4	27184
5987	5	27404
5987	6	14682
5987	7	27245
7129	0	14367
7129	1	19768
7129	2	26975
7129	3	27123
7129	4	27184
7129	5	27404
7129	6	1
7129	7	27291
7129	7	27229
1182	0	8453
1182	1	15471
1182	2	21047
1182	3	27122
1182	4	27184
1182	5	27404
1182	6	1
1182	6	27129
1182	6	7192
1182	6	14682
1182	6	5091
1182	7	27272
1182	7	27311
1182	7	27249
1182	7	27237
1182	7	27245
1182	7	27229
1182	7	27239
1402	0	8671
1402	1	15649
1402	2	21267
1402	3	27122
1402	4	27184
1402	5	27404
1402	6	9
1402	7	27297
1402	7	27283
1402	7	27232
4874	0	12124
4874	1	18278
4874	2	24723
4874	3	27123
4874	4	27184
4874	5	27404
4874	6	1
4874	7	27271
4874	7	27229
3086	0	10349
3086	1	16965
3086	2	22943
3086	3	27123
3086	4	27185
3086	5	27404
3086	6	3086
3086	7	27303
6901	0	14142
6901	1	5041
6901	2	26748
6901	3	27123
6901	4	27184
6901	5	27404
6901	6	36
6901	7	27231
6901	7	27229
6901	7	27264
5373	0	12622
